date,geo_value,hosps_7dav
2022-05-02,al,2.5714286
2022-05-02,ar,3.2857143
2022-05-02,as,0
2022-05-02,az,24.7142857
2022-05-02,ca,31.1428571
2022-05-02,co,28.5714286
2022-05-02,ct,9
2022-05-02,dc,0.4285714
2022-05-02,de,0.8571429
2022-05-02,fl,25.8571429
2022-05-02,ga,4.4285714
2022-05-02,hi,0.4285714
2022-05-02,ia,1.8571429
2022-05-02,id,2.2857143
2022-05-02,il,13.1428571
2022-05-02,in,9.1428571
2022-05-02,ks,1.8571429
2022-05-02,ky,10.2857143
2022-05-02,la,3
2022-05-02,ma,25.4285714
2022-05-02,md,7.2857143
2022-05-02,me,2.2857143
2022-05-02,mi,17.5714286
2022-05-02,mn,4.5714286
2022-05-02,mo,9.7142857
2022-05-02,ms,3.2857143
2022-05-02,mt,2.1428571
2022-05-02,nc,8.8571429
2022-05-02,nd,0.2857143
2022-05-02,ne,1.8571429
2022-05-02,nh,4.5714286
2022-05-02,nj,18.1428571
2022-05-02,nm,8.5714286
2022-05-02,nv,5.7142857
2022-05-02,ny,35.8571429
2022-05-02,oh,15.4285714
2022-05-02,ok,5.8571429
2022-05-02,or,2.4285714
2022-05-02,pa,23.2857143
2022-05-02,pr,4.8571429
2022-05-02,ri,0.8571429
2022-05-02,sc,5.5714286
2022-05-02,sd,1
2022-05-02,tn,5.7142857
2022-05-02,tx,25.5714286
2022-05-02,ut,1
2022-05-02,va,10.2857143
2022-05-02,vi,0
2022-05-02,vt,0.8571429
2022-05-02,wa,6.5714286
2022-05-02,wi,8.2857143
2022-05-02,wv,4.5714286
2022-05-02,wy,1
2022-05-03,ak,0.4285714
2022-05-03,al,2.7142857
2022-05-03,ar,3.2857143
2022-05-03,as,0
2022-05-03,az,25.2857143
2022-05-03,ca,32.5714286
2022-05-03,co,32.2857143
2022-05-03,ct,8.1428571
2022-05-03,dc,0.4285714
2022-05-03,de,0.8571429
2022-05-03,fl,26.8571429
2022-05-03,ga,4.4285714
2022-05-03,hi,0.1428571
2022-05-03,ia,2.2857143
2022-05-03,id,2
2022-05-03,il,14.2857143
2022-05-03,in,9.1428571
2022-05-03,ks,2.4285714
2022-05-03,ky,10.4285714
2022-05-03,la,3.4285714
2022-05-03,ma,23.2857143
2022-05-03,md,7.1428571
2022-05-03,me,2
2022-05-03,mi,19.7142857
2022-05-03,mn,5.4285714
2022-05-03,mo,9.7142857
2022-05-03,ms,3.2857143
2022-05-03,mt,2.1428571
2022-05-03,nc,7.8571429
2022-05-03,nd,0
2022-05-03,ne,1.2857143
2022-05-03,nh,3.4285714
2022-05-03,nj,17.5714286
2022-05-03,nm,9.7142857
2022-05-03,nv,6.8571429
2022-05-03,ny,36.4285714
2022-05-03,oh,14.8571429
2022-05-03,ok,5.8571429
2022-05-03,or,2.4285714
2022-05-03,pa,22.2857143
2022-05-03,pr,4.8571429
2022-05-03,ri,0.8571429
2022-05-03,sc,5.1428571
2022-05-03,sd,1
2022-05-03,tn,5.7142857
2022-05-03,tx,25.4285714
2022-05-03,ut,1.1428571
2022-05-03,va,9.8571429
2022-05-03,vi,0
2022-05-03,vt,1.1428571
2022-05-03,wa,6.5714286
2022-05-03,wi,8.7142857
2022-05-03,wv,3.5714286
2022-05-03,wy,0.7142857
2022-05-04,ak,0.4285714
2022-05-04,al,2.8571429
2022-05-04,ar,3.4285714
2022-05-04,as,0
2022-05-04,az,25
2022-05-04,ca,32.4285714
2022-05-04,co,34.7142857
2022-05-04,ct,8.8571429
2022-05-04,dc,0.2857143
2022-05-04,de,0.7142857
2022-05-04,fl,29
2022-05-04,ga,5.2857143
2022-05-04,hi,0.1428571
2022-05-04,ia,2.1428571
2022-05-04,id,2.1428571
2022-05-04,il,15.2857143
2022-05-04,in,8.1428571
2022-05-04,ks,2.7142857
2022-05-04,ky,10.1428571
2022-05-04,la,4
2022-05-04,ma,25.1428571
2022-05-04,md,6.8571429
2022-05-04,me,1.5714286
2022-05-04,mi,20.1428571
2022-05-04,mn,5.5714286
2022-05-04,mo,9.7142857
2022-05-04,ms,3
2022-05-04,mt,2.8571429
2022-05-04,nc,8.2857143
2022-05-04,nd,0
2022-05-04,ne,1.2857143
2022-05-04,nh,3
2022-05-04,nj,17.7142857
2022-05-04,nm,10.4285714
2022-05-04,nv,7
2022-05-04,ny,35
2022-05-04,oh,14.7142857
2022-05-04,ok,5.7142857
2022-05-04,or,2.1428571
2022-05-04,pa,22.5714286
2022-05-04,pr,4.5714286
2022-05-04,ri,1
2022-05-04,sc,4.8571429
2022-05-04,sd,0.5714286
2022-05-04,tn,5.1428571
2022-05-04,tx,24.7142857
2022-05-04,ut,1.4285714
2022-05-04,va,8.5714286
2022-05-04,vi,0
2022-05-04,vt,0.8571429
2022-05-04,wa,6.4285714
2022-05-04,wi,7.8571429
2022-05-04,wv,3.4285714
2022-05-04,wy,0.7142857
2022-05-05,ak,0.4285714
2022-05-05,al,2.7142857
2022-05-05,ar,2.5714286
2022-05-05,as,0
2022-05-05,az,25.7142857
2022-05-05,ca,31.4285714
2022-05-05,co,35.2857143
2022-05-05,ct,10.8571429
2022-05-05,dc,0.2857143
2022-05-05,de,0.8571429
2022-05-05,fl,28.8571429
2022-05-05,ga,5.8571429
2022-05-05,hi,0.1428571
2022-05-05,ia,2.7142857
2022-05-05,id,2.2857143
2022-05-05,il,15.4285714
2022-05-05,in,6.7142857
2022-05-05,ks,2.4285714
2022-05-05,ky,9.4285714
2022-05-05,la,3.8571429
2022-05-05,ma,26
2022-05-05,md,6.7142857
2022-05-05,me,1
2022-05-05,mi,23.4285714
2022-05-05,mn,5.1428571
2022-05-05,mo,9.5714286
2022-05-05,ms,3.1428571
2022-05-05,mt,2.7142857
2022-05-05,nc,7.2857143
2022-05-05,nd,0.1428571
2022-05-05,ne,1
2022-05-05,nh,2.8571429
2022-05-05,nj,17.2857143
2022-05-05,nm,10.7142857
2022-05-05,nv,6.4285714
2022-05-05,ny,34
2022-05-05,oh,14.7142857
2022-05-05,ok,5.5714286
2022-05-05,or,2.2857143
2022-05-05,pa,23.4285714
2022-05-05,pr,5
2022-05-05,ri,0.8571429
2022-05-05,sc,4.1428571
2022-05-05,sd,0.5714286
2022-05-05,tn,3.5714286
2022-05-05,tx,23.2857143
2022-05-05,ut,1.7142857
2022-05-05,va,7.8571429
2022-05-05,vi,0
2022-05-05,vt,1.1428571
2022-05-05,wa,6.8571429
2022-05-05,wi,7.4285714
2022-05-05,wv,3
2022-05-05,wy,0.7142857
2022-05-06,ak,0.8571429
2022-05-06,al,3.1428571
2022-05-06,ar,2.8571429
2022-05-06,as,0
2022-05-06,az,25.2857143
2022-05-06,ca,30.4285714
2022-05-06,co,37.1428571
2022-05-06,ct,10.8571429
2022-05-06,dc,0.2857143
2022-05-06,de,0.8571429
2022-05-06,fl,32.2857143
2022-05-06,ga,6.1428571
2022-05-06,hi,0.2857143
2022-05-06,ia,2.8571429
2022-05-06,id,1.8571429
2022-05-06,il,16.5714286
2022-05-06,in,7.4285714
2022-05-06,ks,2.1428571
2022-05-06,ky,8.5714286
2022-05-06,la,3.2857143
2022-05-06,ma,26
2022-05-06,md,7
2022-05-06,me,1.1428571
2022-05-06,mi,24.4285714
2022-05-06,mn,4.5714286
